timestamp,basel_temperature_2m_elevation_corrected,basel_precipitation_total,basel_wind_speed_100m,basel_wind_direction_100m,basel_wind_speed_900mb,basel_wind_direction_900mb,basel_wind_speed_850mb,basel_wind_direction_850mb,basel_wind_speed_800mb,basel_wind_direction_800mb,basel_wind_speed_700mb,basel_wind_direction_700mb,basel_wind_speed_500mb,basel_wind_direction_500mb,basel_wind_speed_250mb,basel_wind_direction_250mb,basel_cloud_cover_total,basel_cloud_cover_high,basel_cloud_cover_medium,basel_cloud_cover_low,basel_longwave_radiation
20230101T0000,12.270246,0.0,21.603,203.5747,78.41887,238.13402,79.97674,236.38147,74.95006,230.6525,83.567314,230.06802,96.62831,244.86705,125.20808,231.18584,8.700001,29.0,7.0,3.0,292.0
20230101T0100,12.340245,0.0,20.176065,195.52411,73.98591,236.30994,78.04115,238.58296,79.22045,231.82816,87.857704,229.65335,94.671104,242.85031,119.025604,233.85796,22.0,2.0,22.0,0.0,301.0
20230101T0200,11.840245,0.0,18.556595,198.08345,72.38866,236.15189,84.68268,237.32332,81.0,233.1301,90.80639,230.63068,95.516754,239.66585,109.86371,237.716,44.0,0.0,44.0,0.0,302.0
20230101T0300,11.550245,0.0,18.720001,202.61987,73.387924,235.99812,88.26389,236.30994,81.60653,234.69739,90.299736,230.66238,100.0936,238.082,93.38999,248.28062,22.0,0.0,22.0,1.0,294.0
20230101T0400,11.260245,0.0,20.326454,202.9321,77.92316,234.40079,85.57178,236.84477,78.59716,235.07248,90.745705,231.76617,100.07352,240.9454,89.27565,252.88028,4.0,0.0,4.0,0.0,291.0
20230101T0500,10.990245,0.0,21.175835,197.8189,79.22045,231.82816,77.090454,237.20047,73.90792,234.91653,88.15811,231.63252,99.06543,245.29758,95.40204,251.97528,2.0,0.0,2.0,0.0,290.0
20230101T0600,10.350245,0.0,21.322214,191.68936,76.74842,230.7106,71.7927,236.86774,69.00083,237.13905,82.14392,230.8696,97.615776,247.21759,101.20867,251.11392,10.0,2.0,10.0,0.0,278.0
20230101T0700,10.090245,0.0,19.211996,192.99461,74.38858,232.07639,71.936066,239.9706,67.0306,241.09483,77.0812,231.2566,87.90489,250.37775,98.426926,249.44395,21.0,10.0,21.0,0.0,289.0
20230101T0800,10.400246,0.0,18.0036,191.53462,72.792145,233.24345,69.39041,243.16908,63.11407,242.85033,76.757706,232.43141,80.27677,250.34618,98.84278,246.6096,22.0,36.0,22.0,0.0,292.0
20230101T0900,12.050245,0.0,17.015474,186.07246,69.053406,232.41321,60.71312,242.06741,59.312664,235.63477,76.063156,238.94324,73.43029,252.0092,102.23619,243.8861,10.0,20.0,10.0,1.0,298.0
20230101T1000,14.290245,0.0,13.397612,173.82982,54.580082,242.92792,55.458694,240.43965,74.45301,232.4652,68.63265,234.39246,67.69532,246.16125,108.51238,243.60498,12.0,40.0,2.0,0.0,285.0
20230101T1100,16.000246,0.0,13.358861,165.96376,50.012794,239.74356,55.56609,238.7816,71.09065,236.14899,68.59487,236.56013,68.7779,239.1391,110.765976,243.35167,21.0,46.0,21.0,0.0,287.0
20230101T1200,16.830246,0.0,13.661038,161.56505,50.262238,234.03297,60.01752,235.26138,62.357986,233.924,65.53582,234.38914,73.04097,238.50351,108.02999,243.69112,13.500001,45.0,10.0,0.0,292.0
20230101T1300,17.230246,0.0,13.202726,154.13364,49.1779,233.63342,60.56672,238.86102,59.769756,232.09476,65.01663,232.87631,75.10121,237.52881,104.62196,240.52411,16.800001,56.0,1.0,0.0,293.0
20230101T1400,16.960245,0.0,14.007655,154.09349,46.5125,232.86403,61.49365,239.3814,59.652546,231.12419,65.45469,233.94946,73.95087,233.9111,105.779366,237.93262,14.1,47.0,0.0,0.0,293.0
20230101T1500,15.360246,0.0,15.315873,150.42216,41.82512,228.48932,65.23454,232.62419,64.89992,229.95027,64.624756,229.7449,73.496445,235.37584,107.67431,239.23337,19.5,65.0,0.0,0.0,289.0
20230101T1600,12.270246,0.0,17.22742,153.9704,40.98628,218.5812,68.223564,225.42757,73.42588,228.17984,65.19878,226.78992,73.99029,240.56631,111.36808,240.7835,11.400001,38.0,0.0,0.0,284.0
20230101T1700,10.930245,0.0,18.25026,157.98871,44.519352,210.08969,70.590294,222.313,76.23589,228.25412,64.70793,227.25458,72.011696,245.48492,121.10829,241.98763,6.9,23.0,0.0,0.0,280.0
20230101T1800,10.410245,0.0,17.654688,159.71744,49.082935,210.8917,74.346756,223.82286,74.49564,231.08075,63.296562,229.15129,69.22867,243.43495,130.60063,244.70642,3.3000002,11.0,0.0,0.0,277.0
20230101T1900,9.650246,0.0,17.31746,159.30455,52.620373,214.12494,75.63856,226.73572,66.963875,233.74615,62.970165,231.03326,66.70791,237.3391,132.55678,245.10532,6.6000004,22.0,0.0,0.0,278.0
20230101T2000,9.340245,0.0,16.055353,160.34618,54.792187,216.71931,73.93422,228.15794,61.64415,234.26784,61.521038,235.00798,66.97354,230.23386,130.2469,243.5766,9.3,31.0,0.0,0.0,279.0
20230101T2100,9.030245,0.0,14.689589,162.89728,53.2435,218.96231,73.42588,228.17984,61.141735,234.34467,56.920994,235.30484,72.47364,229.02826,125.907906,242.77557,11.1,37.0,0.0,0.0,276.0
20230101T2200,8.890245,0.0,15.39184,169.2157,46.63494,237.29135,55.03292,234.85446,56.03987,222.91745,47.75533,229.5861,74.74487,234.01321,123.257286,241.18921,7.2000003,24.0,3.0,0.0,277.0
20230101T2300,8.570246,0.0,18.888851,172.33319,46.50832,230.02408,57.38472,233.41766,58.03932,225.0,56.304043,233.05684,79.33243,230.89354,122.74733,234.91162,14.400001,48.0,5.0,0.0,275.0
20230102T0000,8.490246,0.0,18.844202,173.41806,51.969837,227.24574,66.68459,232.01651,64.04055,228.87468,60.1103,235.7389,83.10699,230.44865,120.935356,231.52664,15.900001,53.0,8.0,0.0,271.0
20230102T0100,8.340245,0.0,17.377226,166.82744,52.70897,226.3837,64.82499,234.72125,60.827213,237.8149,61.77331,229.25385,86.70247,232.08328,120.19095,229.00781,17.1,57.0,1.0,0.0,270.0
20230102T0200,7.8402452,0.0,16.676977,166.26373,51.182076,226.42497,66.62432,234.67827,59.887814,239.27252,64.9129,225.22469,87.76989,233.50612,122.72357,226.18854,51.0,60.0,51.0,0.0,269.0
20230102T0300,7.8202453,0.0,16.520823,168.69006,47.60311,224.6936,69.8335,230.64825,65.243484,234.20506,67.78141,222.41698,92.2612,235.81387,125.01955,223.7166,88.0,69.0,88.0,0.0,272.0
20230102T0400,7.7602453,0.0,16.808569,170.13419,46.102493,218.65982,72.116005,227.63011,72.08365,232.09991,68.7779,227.1211,95.75864,236.9671,127.810135,221.23148,61.0,69.0,61.0,0.0,271.0
