,0
Basel Cloud Cover Medium [mid cld lay],0.4258229079265773
Basel Cloud Cover Total,0.34821485347842307
Basel Wind Gust,0.28584065419416743
Basel Cloud Cover Low [low cld lay],0.2706960133964885
Basel Cloud Cover High [high cld lay],0.2621408920781352
Basel Wind Speed [850 mb],0.24712580885880298
Basel Wind Speed [100 m],0.24490338765885858
Basel Longwave Radiation,0.24288759638519095
Basel Wind Speed [800 mb],0.24267358810206793
Basel Wind Speed [900 mb],0.24192346755827784
Basel Wind Speed [700 mb],0.236766911182407
Basel Wind Speed [10 m],0.22944478839495144
Basel Relative Humidity [2 m],0.19886195569104226
Basel Wind Speed [500 mb],0.19393783275833953
Basel Wind Speed [250 mb],0.1794415064142639
Basel Wind Direction [10 m],0.17859387365920143
Basel Wind Direction [100 m],0.17701268412806562
Basel Wind Direction [900 mb],0.14285262804547344
Basel Wind Direction [850 mb],0.12862410162275492
Basel Wind Direction [800 mb],0.10891177047196683
Basel Wind Direction [700 mb],0.07083798048777003
Basel Wind Direction [500 mb],0.020245050083157974
Basel Wind Direction [250 mb],0.018932103490780203
