n_neighbors,Selected Features,Adjusted R²,RMSE,R²,MSE,Accuracy,TS,SAR,MAR,Precision
8,['Basel Relative Humidity [2 m]'],-0.03395780271035109,0.46032330293324325,-0.03391670577475314,0.21189754322337045,0.53,0.53,0.53,0.01,0.54
8,['Basel Wind Gust'],-0.06476530335005481,0.46713079506699245,-0.06472298190232828,0.21821117969992052,0.50,0.50,0.50,0.00,0.50
8,['Basel Wind Speed [10 m]'],-0.06753081991911025,0.46773704143933237,-0.06748838854982231,0.2187779399344197,0.51,0.51,0.51,0.01,0.51
8,['Basel Wind Direction [10 m]'],-0.04865565872898392,0.46358353798552476,-0.04861397759464903,0.21490969669117646,0.54,0.54,0.54,0.02,0.55
8,['Basel Wind Speed [100 m]'],-0.04484729314053926,0.46274098236780214,-0.044805763378102714,0.2141292167627186,0.51,0.51,0.51,0.01,0.51
8,['Basel Wind Direction [100 m]'],-0.05490732860011294,0.4649633353495691,-0.05486539897935705,0.21619090321939585,0.54,0.54,0.54,0.02,0.54
8,['Basel Wind Speed [900 mb]'],-0.06552815222592234,0.4672981025464171,-0.06548580045708308,0.21836751664348175,0.51,0.51,0.51,0.01,0.51
8,['Basel Wind Direction [900 mb]'],-0.06799597167268812,0.46783893311590713,-0.06795352181491654,0.2188732673390302,0.54,0.54,0.54,0.02,0.54
8,['Basel Wind Speed [850 mb]'],-0.05184108460418457,0.4642871012859487,-0.051799276858065735,0.21556251242050878,0.51,0.51,0.51,0.01,0.51
8,['Basel Wind Direction [850 mb]'],-0.07238451937670254,0.46879915614012657,-0.07234189508641364,0.21977264879769476,0.53,0.53,0.53,0.01,0.53
8,['Basel Wind Speed [800 mb]'],-0.04650344550459651,0.4631075747544112,-0.04646184991472779,0.21446862579491258,0.51,0.51,0.51,0.01,0.51
8,['Basel Wind Direction [800 mb]'],-0.09002874054193821,0.472640058922318,-0.08998541494312495,0.2233886252980922,0.51,0.51,0.51,0.01,0.51
8,['Basel Wind Speed [700 mb]'],-0.04572444510529872,0.46293517773633386,-0.04568288047852076,0.21430897878577104,0.50,0.50,0.50,0.01,0.51
8,['Basel Wind Speed [500 mb]'],-0.06967724526174313,0.468207031848197,-0.06963472857804098,0.21921782467209858,0.50,0.50,0.50,0.01,0.51
8,['Basel Wind Speed [250 mb]'],-0.07673509736428485,0.46974913390833534,-0.07669230015066897,0.22066424880763116,0.50,0.50,0.50,0.01,0.51
8,['Basel Cloud Cover Total'],-0.0406943819209431,0.4618204480553572,-0.040653017225131594,0.2132781262420509,0.65,0.65,0.65,0.01,0.65
8,['Basel Cloud Cover High [high cld lay]'],0.02464677278355698,0.44708748783722874,0.02468554035091719,0.19988722178060414,0.50,0.50,0.50,0.00,0.50
8,"['Basel Cloud Cover High [high cld lay]', 'Basel Cloud Cover Medium [mid cld lay]']",0.16233206224147423,0.41432283357701993,0.16239865216458393,0.17166341042329097,0.69,0.69,0.69,0.01,0.69
8,"['Basel Cloud Cover High [high cld lay]', 'Basel Cloud Cover Medium [mid cld lay]', 'Basel Cloud Cover Low [low cld lay]']",0.2037514738846964,0.40394162720077775,0.20384641985148155,0.16316883818561212,0.71,0.71,0.71,0.01,0.71
8,"['Basel Cloud Cover High [high cld lay]', 'Basel Cloud Cover Medium [mid cld lay]', 'Basel Cloud Cover Low [low cld lay]', 'Basel Longwave Radiation']",0.31071023930977615,0.37582578327729677,0.31081982868307245,0.14124501937599362,0.73,0.73,0.73,0.01,0.74
